"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Rest of Co. Longford",1,0,..,1,1,..,..,..,..,..
" "," ","Louth",3,2,..,0,7,4,1,6,4,6
" "," ","Drogheda Borough",..,1,..,0,1,..,..,1,..,..
" "," ","Dundalk Town",2,0,..,0,..,..,..,5,..,..
" "," ","Ardee",..,..,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Louth",1,1,..,0,5,..,..,..,..,..
" "," ","Meath",3,10,6,5,4,4,2,2,3,8
" "," ","Kells Town",..,0,2,2,..,..,..,..,..,..
" "," ","Navan Town",..,1,1,2,..,..,..,2,..,..
" "," ","Trim Town",..,0,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Meath",3,9,3,1,3,..,..,..,..,..
" "," ","Offaly",5,4,1,3,3,3,3,..,1,3
" "," ","Birr Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tullamore Town",1,1,..,0,1,..,..,..,..,..
" "," ","Edenderry",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Offaly",4,3,1,2,1,..,..,..,..,..
" "," ","Westmeath",1,3,5,6,1,3,4,2,3,2
" "," ","Athlone Town",..,0,..,0,1,..,..,1,..,..
" "," ","Mullingar",..,..,..,3,..,..,..,..,..,..
" "," ","Rest of Co. Westmeath",1,3,5,3,..,..,..,1,..,..
" "," ","Wexford",5,6,4,5,4,4,5,3,3,5
" "," ","Enniscorthy Town",1,1,..,0,..,..,..,..,..,..
" "," ","New Ross Town",..,0,1,0,..,..,..,..,..,..
" "," ","Wexford Borough",..,0,1,1,..,..,..,2,..,..
" "," ","Gorey",..,..,..,1,2,..,..,..,..,..
" "," ","Rest of Co. Wexford",4,5,2,3,2,..,..,1,..,..
" "," ","Munster",51,43,30,42,38,30,25,18,23,22
" "," ","Waterford County",2,5,3,1,2,..,3,1,0,0
" "," ","Dungarvan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Waterford",2,5,3,1,2,..,..,1,..,..
" "," ","Waterford City",2,1,1,2,1,..,2,..,1,1
" "," ","Clare",5,2,3,0,6,5,1,1,3,3
" "," ","Ennis Town",..,0,..,0,1,..,..,..,..,..
" "," ","Kilrush Town",..,0,..,0,1,..,..,..,..,..
" "," ","Shannon",..,..,..,0,..,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",5,2,3,0,4,..,..,1,..,..
" "," ","Cork City",8,3,4,3,2,4,1,1,0,0
" "," ","Cork County",11,9,9,14,10,5,7,5,4,12
" "," ","Cobh Town",..,0,..,1,1,..,..,..,..,..
" "," ","Fermoy Town",..,0,1,2,..,..,..,..,..,..
" "," ","Kinsale Town",..,0,1,0,..,..,..,..,..,..
" "," ","Midleton Town",..,1,2,0,..,..,..,..,..,..
" "," ","Youghal Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonakilty Town",..,0,..,0,..,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,..,..,..,..,..,..
" "," ","Macroom Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mallow Town",..,0,..,2,..,..,..,..,..,..
" "," ","Rest of Co. Cork",11,8,5,8,8,..,..,5,..,..
" "," ","Passage West",..,..,..,1,..,..,..,..,..,..
" "," ","Bandon",..,..,..,0,..,..,..,..,..,..
" "," ","Bantry",..,..,..,0,1,..,..,..,..,..
" "," ","Kerry",8,6,4,7,3,4,4,3,4,5
" "," ","Killarney Town",2,0,1,3,1,..,..,..,..,..
" "," ","Listowel Town",2,0,..,1,..,..,..,..,..,..
" "," ","Tralee Town",1,0,..,1,1,..,..,1,..,..
" "," ","Rest of Co. Kerry",3,6,3,2,1,..,..,2,..,..
" "," ","Limerick City",7,4,1,2,5,3,1,2,4,0
" "," ","Limerick County",3,9,1,9,6,7,2,1,3,0
" "," ","North Tipperary",1,2,4,3,3,1,1,..,..,..
" "," ","Nenagh Town",..,1,1,1,1,..,..,..,..,..
" "," ","Templemore Town",1,0,1,1,..,..,..,..,..,..
" "," ","Thurles Town",..,0,..,0,1,..,..,..,..,..
" "," ","Rest of North Tipperary",..,1,2,1,1,..,..,..,..,..
