"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Cootehill",..,..,..,3,1,..,..,3,..,..
" "," ","Rest of Co. Cavan",33,38,33,27,42,..,..,39,..,..
" "," ","Donegal",116,116,104,112,116,117,127,135,113,147
" "," ","Buncrana Town",1,3,5,6,1,..,..,4,..,..
" "," ","Bundoran Town",3,6,5,0,2,..,..,2,..,..
" "," ","Letterkenny Town",12,7,11,5,14,..,..,14,..,..
" "," ","Ballyshannon",..,..,..,3,5,..,..,4,..,..
" "," ","Rest of Co. Donegal",100,100,83,98,94,..,..,111,..,..
" "," ","Monaghan",26,33,35,31,44,43,45,39,44,44
" "," ","Carrickmacross Town",2,3,4,1,3,..,..,5,..,..
" "," ","Castleblaney Town",5,2,2,3,1,..,..,1,..,..
" "," ","Clones Town",1,3,..,2,0,..,..,1,..,..
" "," ","Monaghan Town",2,2,3,3,6,..,..,10,..,..
" "," ","Ballybay",..,..,..,0,0,..,..,2,..,..
" "," ","Rest of Co. Monaghan",16,23,26,22,34,..,..,20,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",1604,1650,1648,1709,1722,1791,1853,1848,1901,1998
" "," ","Dublin City",206,208,222,206,211,193,185,218,250,240
" "," ","Fingal",47,52,55,62,67,60,74,64,62,75
" "," ","Balbriggan",..,..,..,3,2,..,..,4,..,..
" "," ","Rest of Fingal",..,..,..,..,65,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",76,73,81,74,70,59,65,66,67,60
" "," ","South Dublin",66,80,62,62,81,58,90,102,92,111
" "," ","Leinster",774,807,821,847,827,872,884,951,971,975
" "," ","Wicklow",47,51,39,45,45,62,52,65,57,46
" "," ","Arklow Town",5,4,4,9,3,..,..,6,..,..
" "," ","Bray Town",15,10,12,10,9,..,..,16,..,..
" "," ","Wicklow Town",3,4,3,1,4,..,..,1,..,..
" "," ","Greystones",..,..,..,3,6,..,..,4,..,..
" "," ","Rest of Wicklow",24,33,20,22,23,..,..,38,..,..
" "," ","Carlow",27,29,27,27,25,28,23,18,16,19
" "," ","Carlow Town",2,9,11,10,7,..,..,5,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,3,2,..,..,2,..,..
" "," ","Rest of Co. Carlow",25,20,16,17,16,..,..,13,..,..
" "," ","Kildare",42,45,61,57,47,64,82,77,72,81
" "," ","Athy Town",3,3,7,4,4,..,..,4,..,..
" "," ","Naas Town",6,3,9,10,6,..,..,13,..,..
" "," ","Leixlip",..,..,..,6,4,..,..,4,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,7,1,..,..,5,..,..
" "," ","Rest of Co. Kildare",33,39,45,30,32,..,..,51,..,..
" "," ","Kilkenny",38,35,28,33,30,39,40,44,40,41
" "," ","Kilkenny Borough",6,5,5,5,2,..,..,7,..,..
" "," ","Rest of Co. Kilkenny",32,30,23,28,28,..,..,37,..,..
" "," ","Laois",20,23,22,23,29,24,25,23,29,34
" "," ","Mountmellick",..,..,..,1,2,..,..,3,..,..
" "," ","Portlaoise",..,..,..,5,3,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,17,24,..,..,20,..,..
" "," ","Longford",15,9,23,8,18,27,17,20,22,24
" "," ","Longford town",2,4,5,4,7,..,..,5,..,..
" "," ","Granard",..,..,..,0,1,..,..,3,..,..
" "," ","Rest of Co. Longford",13,5,18,4,10,..,..,12,..,..
" "," ","Louth",38,40,39,61,43,48,45,54,58,44
" "," ","Drogheda Borough",14,15,13,18,12,..,..,13,..,..
" "," ","Dundalk Town",12,9,11,16,11,..,..,17,..,..
" "," ","Ardee",..,..,..,2,5,..,..,1,..,..
" "," ","Rest of Co. Louth",12,16,15,25,15,..,..,23,..,..
" "," ","Meath",44,48,40,43,46,68,61,61,63,73
" "," ","Kells Town",2,4,1,4,1,..,..,..,..,..
" "," ","Navan Town",4,5,6,7,12,..,..,9,..,..
" "," ","Trim Town",3,3,4,1,..,..,..,3,..,..
" "," ","Rest of Co. Meath",35,36,29,31,33,..,..,49,..,..
" "," ","Offaly",18,28,33,35,26,45,25,27,26,25
" "," ","Birr Town",1,1,4,0,1,..,..,3,..,..
" "," ","Tullamore Town",3,7,7,3,5,..,..,4,..,..
" "," ","Edenderry",..,..,..,3,3,..,..,1,..,..
" "," ","Rest of Co. Offaly",14,20,22,29,17,..,..,19,..,..
" "," ","Westmeath",31,30,33,36,35,26,29,35,40,40
" "," ","Athlone Town",5,3,5,10,9,..,..,3,..,..
" "," ","Mullingar",..,..,..,4,6,..,..,6,..,..
" "," ","Rest of Co. Westmeath",26,27,28,22,20,..,..,26,..,..
" "," ","Wexford",59,56,56,69,54,71,71,71,77,62
" "," ","Enniscorthy Town",7,4,4,3,2,..,..,4,..,..
" "," ","New Ross Town",4,0,4,1,4,..,..,6,..,..
" "," ","Wexford Borough",10,9,8,14,7,..,..,16,..,..
" "," ","Gorey",..,..,..,7,1,..,..,1,..,..
" "," ","Rest of Co. Wexford",38,43,40,44,40,..,..,44,..,..
" "," ","Munster",517,520,506,517,548,535,571,516,562,596
" "," ","Waterford County",24,34,22,37,25,24,28,27,27,29
" "," ","Dungarvan Town",3,1,3,10,3,..,..,7,..,..
" "," ","Lismore",..,..,..,2,..,..,..,..,..,..
" "," ","Tramore",..,..,..,5,4,..,..,1,..,..
" "," ","Rest of Waterford",21,33,19,20,18,..,..,19,..,..
" "," ","Waterford City",19,25,10,25,17,30,24,18,24,22
" "," ","Clare",42,49,49,55,54,58,51,57,58,52
" "," ","Ennis Town",10,3,7,13,10,..,..,13,..,..
" "," ","Kilrush Town",2,2,4,3,3,..,..,1,..,..
" "," ","Shannon",..,..,..,5,4,..,..,6,..,..
" "," ","Kilkee",..,..,..,2,3,..,..,1,..,..
" "," ","Rest of Co. Clare",30,44,38,32,34,..,..,36,..,..
" "," ","Cork City",67,65,70,57,69,57,62,51,63,62
" "," ","Cork County",144,123,141,121,135,156,164,138,140,167
" "," ","Cobh Town",5,4,4,2,1,..,..,2,..,..
" "," ","Fermoy Town",1,2,3,2,2,..,..,..,..,..
" "," ","Kinsale Town",..,4,2,4,3,..,..,..,..,..
" "," ","Midleton Town",1,2,4,0,4,..,..,2,..,..
" "," ","Youghal Town",1,3,3,2,2,..,..,..,..,..
" "," ","Clonakilty Town",..,2,4,1,6,..,..,3,..,..
" "," ","Skibbereen Town",6,1,3,0,1,..,..,..,..,..
" "," ","Macroom Town",..,0,3,1,3,..,..,1,..,..
" "," ","Mallow Town",7,6,8,2,3,..,..,2,..,..
" "," ","Rest of Co. Cork",123,99,107,101,102,..,..,121,..,..
" "," ","Passage West",..,..,..,2,2,..,..,3,..,..
" "," ","Bandon",..,..,..,2,2,..,..,1,..,..
" "," ","Bantry",..,..,..,2,4,..,..,3,..,..
" "," ","Kerry",65,71,62,79,62,78,70,68,70,87
" "," ","Killarney Town",3,3,2,7,6,..,..,2,..,..
" "," ","Listowel Town",1,4,1,3,1,..,..,1,..,..
" "," ","Tralee Town",11,12,6,10,13,..,..,11,..,..
" "," ","Rest of Co. Kerry",50,52,53,59,42,..,..,54,..,..
" "," ","Limerick City",34,28,28,31,32,23,32,26,29,33
" "," ","Limerick County",50,69,54,49,57,55,59,53,68,64
" "," ","North Tipperary",38,25,35,32,50,21,40,32,..,..
" "," ","Nenagh Town",7,0,6,4,8,..,..,4,..,..
" "," ","Templemore Town",..,1,1,2,1,..,..,1,..,..
" "," ","Thurles Town",6,2,3,3,7,..,..,5,..,..
" "," ","Rest of North Tipperary",25,22,25,23,34,..,..,22,..,..
" "," ","South Tipperary",34,31,35,31,47,33,41,46,..,..
" "," ","Carrick-on-Suir Town",2,4,6,2,3,..,..,5,..,..
" "," ","Cashel Town",2,3,..,2,2,..,..,3,..,..
" "," ","Clonmel Borough",4,6,9,6,6,..,..,14,..,..
" "," ","Tipperary Town",5,5,..,1,4,..,..,6,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,83,80
" "," ","Rest of South Tipperary",21,13,20,20,32,..,..,18,..,..
" "," ","Connacht",206,207,210,234,221,247,259,244,247,274
" "," ","Galway City",15,21,15,24,24,20,23,18,24,18
" "," ","Leitrim",21,22,14,18,18,22,18,17,14,23
" "," ","Mayo",51,52,63,59,71,68,81,73,76,90
" "," ","Ballina Town",2,8,10,7,5,..,..,7,..,..
" "," ","Castlebar Town",4,4,5,6,6,..,..,7,..,..
" "," ","Westport Town",1,0,4,0,3,..,..,1,..,..
" "," ","Rest of Co. Mayo",44,40,44,46,57,..,..,58,..,..
" "," ","Roscommon",30,26,26,28,28,30,29,26,23,28
" "," ","Boyle",..,..,..,4,1,..,..,1,..,..
" "," ","Rest of Co. Roscommon",..,..,..,24,27,..,..,25,..,..
" "," ","Sligo",22,28,24,32,25,33,33,36,29,35
" "," ","Sligo Borough",9,7,4,6,8,..,..,15,..,..
" "," ","Rest of Co. Sligo",13,21,20,26,17,..,..,21,..,..
" "," ","Galway County",67,58,68,73,55,74,75,74,81,80
" "," ","Ballinasloe Town",6,0,7,6,2,..,..,3,..,..
" "," ","Loughrea",..,..,..,2,3,..,..,6,..,..
" "," ","Tuam",..,..,..,4,..,..,..,1,..,..
" "," ","Rest of Co. Galway",61,58,61,61,50,..,..,64,..,..
" "," ","Ulster (pt)",107,116,111,111,126,137,139,137,121,153
" "," ","Cavan",25,26,20,22,26,34,38,31,27,44
" "," ","Cavan Town",1,1,1,2,1,..,..,2,..,..
" "," ","Belturbet",..,..,..,0,2,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,3,..,..
" "," ","Rest of Co. Cavan",24,25,19,20,23,..,..,26,..,..
" "," ","Donegal",69,70,68,69,72,77,72,86,66,89
" "," ","Buncrana Town",..,1,2,3,1,..,..,4,..,..
" "," ","Bundoran Town",2,2,2,0,2,..,..,1,..,..
" "," ","Letterkenny Town",5,4,6,3,7,..,..,8,..,..
" "," ","Ballyshannon",..,..,..,3,1,..,..,3,..,..
" "," ","Rest of Co. Donegal",62,63,58,60,61,..,..,70,..,..
" "," ","Monaghan",13,20,23,20,28,26,29,20,28,20
" "," ","Carrickmacross Town",..,2,3,1,2,..,..,2,..,..
" "," ","Castleblaney Town",4,2,2,2,1,..,..,1,..,..
" "," ","Clones Town",..,3,..,1,..,..,..,..,..,..
" "," ","Monaghan Town",2,1,2,2,3,..,..,6,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,2,..,..
" "," ","Rest of Co. Monaghan",7,12,16,14,22,..,..,9,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",1076,1062,1062,1106,1163,1200,1286,1267,1290,1328
" "," ","Dublin City",179,169,171,177,173,183,176,172,171,146
" "," ","Fingal",35,45,42,45,45,66,41,54,63,49
" "," ","Balbriggan",..,..,..,1,..,..,..,2,..,..
" "," ","Rest of Fingal",..,..,..,..,45,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",65,50,54,52,66,51,72,46,51,52
" "," ","South Dublin",43,52,42,52,53,64,62,56,77,70
" "," ","Leinster",568,573,571,576,608,666,675,667,691,643
" "," ","Wicklow",25,29,38,31,29,34,46,41,39,35
" "," ","Arklow Town",2,4,4,6,1,..,..,1,..,..
" "," ","Bray Town",11,6,10,5,8,..,..,7,..,..
" "," ","Wicklow Town",..,2,4,3,2,..,..,3,..,..
" "," ","Greystones",..,..,..,4,3,..,..,4,..,..
" "," ","Rest of Wicklow",12,17,20,13,15,..,..,26,..,..
" "," ","Carlow",18,13,4,13,17,14,16,15,18,20
" "," ","Carlow Town",6,4,2,7,5,..,..,6,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,3,..,..,..,2,..,..
" "," ","Rest of Co. Carlow",12,9,2,6,12,..,..,9,..,..
" "," ","Kildare",31,40,39,38,45,45,51,52,44,42
" "," ","Athy Town",2,2,4,2,3,..,..,10,..,..
" "," ","Naas Town",9,6,3,4,5,..,..,1,..,..
" "," ","Leixlip",..,..,..,2,1,..,..,4,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,4,7,..,..,8,..,..
" "," ","Rest of Co. Kildare",20,32,32,26,29,..,..,29,..,..
" "," ","Kilkenny",20,24,19,20,18,26,21,32,21,33
" "," ","Kilkenny Borough",6,7,7,3,6,..,..,5,..,..
" "," ","Rest of Co. Kilkenny",14,17,12,17,12,..,..,27,..,..
" "," ","Laois",14,23,20,15,12,18,14,15,21,15
" "," ","Mountmellick",..,..,..,0,1,..,..,..,..,..
" "," ","Portlaoise",..,..,..,4,1,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,11,10,..,..,15,..,..
" "," ","Longford",9,8,9,9,6,10,10,13,14,11
" "," ","Longford town",2,3,4,4,3,..,..,4,..,..
" "," ","Granard",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Longford",7,5,5,5,3,..,..,8,..,..
" "," ","Louth",32,29,16,26,28,27,35,42,38,37
" "," ","Drogheda Borough",14,12,4,13,16,..,..,13,..,..
" "," ","Dundalk Town",8,6,5,8,5,..,..,12,..,..
" "," ","Ardee",..,..,..,0,..,..,..,3,..,..
" "," ","Rest of Co. Louth",10,11,7,5,7,..,..,14,..,..
" "," ","Meath",24,27,25,25,35,33,29,31,44,45
" "," ","Kells Town",4,2,4,1,1,..,..,1,..,..
" "," ","Navan Town",5,3,1,6,6,..,..,2,..,..
" "," ","Trim Town",1,2,2,1,..,..,..,..,..,..
" "," ","Rest of Co. Meath",14,20,18,17,28,..,..,28,..,..
" "," ","Offaly",15,10,15,19,24,25,22,21,23,15
" "," ","Birr Town",1,0,3,2,2,..,..,1,..,..
" "," ","Tullamore Town",3,2,4,6,5,..,..,7,..,..
" "," ","Edenderry",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Offaly",11,8,8,11,17,..,..,13,..,..
" "," ","Westmeath",21,24,30,15,20,28,35,21,25,24
" "," ","Athlone Town",6,4,9,2,4,..,..,6,..,..
" "," ","Mullingar",..,..,..,3,3,..,..,4,..,..
" "," ","Rest of Co. Westmeath",15,20,21,10,13,..,..,11,..,..
" "," ","Wexford",37,30,47,35,37,42,45,52,42,49
" "," ","Enniscorthy Town",3,0,5,1,2,..,..,3,..,..
" "," ","New Ross Town",..,1,4,5,5,..,..,1,..,..
" "," ","Wexford Borough",3,7,5,7,3,..,..,9,..,..
" "," ","Gorey",..,..,..,2,..,..,..,2,..,..
" "," ","Rest of Co. Wexford",31,22,33,20,27,..,..,37,..,..
" "," ","Munster",308,319,302,326,355,327,387,397,381,420
" "," ","Waterford County",15,18,21,20,20,22,24,13,16,26
" "," ","Dungarvan Town",3,2,2,4,6,..,..,3,..,..
" "," ","Lismore",..,..,..,0,1,..,..,1,..,..
" "," ","Tramore",..,..,..,3,4,..,..,1,..,..
" "," ","Rest of Waterford",12,16,19,13,9,..,..,8,..,..
" "," ","Waterford City",15,12,13,22,10,11,17,12,16,24
" "," ","Clare",24,29,34,29,41,33,24,38,39,38
" "," ","Ennis Town",5,7,4,4,6,..,..,5,..,..
" "," ","Kilrush Town",1,0,3,1,..,..,..,1,..,..
" "," ","Shannon",..,..,..,4,4,..,..,3,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Co. Clare",18,22,27,20,31,..,..,28,..,..
" "," ","Cork City",46,46,40,38,33,41,39,55,39,38
" "," ","Cork County",72,85,68,80,92,82,99,108,107,100
" "," ","Cobh Town",3,3,2,3,3,..,..,2,..,..
" "," ","Fermoy Town",2,1,3,2,1,..,..,..,..,..
" "," ","Kinsale Town",..,0,1,1,1,..,..,1,..,..
" "," ","Midleton Town",3,2,1,1,..,..,..,2,..,..
" "," ","Youghal Town",..,2,1,4,3,..,..,2,..,..
" "," ","Clonakilty Town",..,1,..,3,2,..,..,1,..,..
" "," ","Skibbereen Town",..,0,2,2,..,..,..,1,..,..
" "," ","Macroom Town",1,0,1,1,3,..,..,..,..,..
" "," ","Mallow Town",4,1,3,2,..,..,..,4,..,..
" "," ","Rest of Co. Cork",59,75,54,57,74,..,..,89,..,..
" "," ","Passage West",..,..,..,2,3,..,..,2,..,..
" "," ","Bandon",..,..,..,1,..,..,..,2,..,..
" "," ","Bantry",..,..,..,1,2,..,..,2,..,..
" "," ","Kerry",40,31,34,41,45,41,55,55,58,62
" "," ","Killarney Town",3,1,2,3,2,..,..,3,..,..
" "," ","Listowel Town",1,1,1,0,..,..,..,1,..,..
" "," ","Tralee Town",5,3,10,9,15,..,..,11,..,..
" "," ","Rest of Co. Kerry",31,26,21,29,28,..,..,40,..,..
" "," ","Limerick City",21,30,23,26,22,30,22,20,17,26
" "," ","Limerick County",31,29,31,26,38,19,46,47,42,50
" "," ","North Tipperary",19,18,20,19,23,21,26,26,..,..
" "," ","Nenagh Town",2,2,2,3,5,..,..,6,..,..
" "," ","Templemore Town",1,0,2,2,1,..,..,1,..,..
" "," ","Thurles Town",1,0,5,2,2,..,..,5,..,..
" "," ","Rest of North Tipperary",15,16,11,12,15,..,..,14,..,..
" "," ","South Tipperary",25,21,18,25,31,27,35,23,..,..
" "," ","Carrick-on-Suir Town",2,1,1,3,6,..,..,1,..,..
" "," ","Cashel Town",1,2,2,2,3,..,..,1,..,..
" "," ","Clonmel Borough",6,5,5,6,7,..,..,10,..,..
" "," ","Tipperary Town",2,0,1,3,4,..,..,1,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,47,56
" "," ","Rest of South Tipperary",14,13,9,11,11,..,..,10,..,..
" "," ","Connacht",131,98,126,140,120,133,130,121,142,167
" "," ","Galway City",13,12,10,11,12,10,14,13,20,10
" "," ","Leitrim",9,9,5,8,8,6,8,5,8,10
" "," ","Mayo",43,18,46,45,32,33,42,35,38,51
" "," ","Ballina Town",3,0,5,4,3,..,..,4,..,..
" "," ","Castlebar Town",4,1,4,3,5,..,..,5,..,..
" "," ","Westport Town",3,2,1,2,1,..,..,..,..,..
" "," ","Rest of Co. Mayo",33,15,36,36,23,..,..,26,..,..
" "," ","Roscommon",15,9,15,20,11,21,15,16,19,22
" "," ","Boyle",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,19,10,..,..,16,..,..
" "," ","Sligo",16,15,13,12,14,19,10,11,19,22
" "," ","Sligo Borough",6,7,3,4,4,..,..,6,..,..
" "," ","Rest of Co. Sligo",10,8,10,8,10,..,..,5,..,..
" "," ","Galway County",35,35,37,44,43,44,41,41,38,52
" "," ","Ballinasloe Town",4,0,5,4,2,..,..,1,..,..
" "," ","Loughrea",..,..,..,4,1,..,..,1,..,..
" "," ","Tuam",..,..,..,2,3,..,..,5,..,..
" "," ","Rest of Co. Galway",31,35,32,34,37,..,..,34,..,..
" "," ","Ulster (pt)",69,72,63,64,80,74,94,82,76,153
" "," ","Cavan",9,13,15,10,20,17,23,14,13,44
" "," ","Cavan Town",..,0,1,0,..,..,..,1,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,..,..,..
" "," ","Cootehill",..,..,..,3,1,..,..,..,..,..
" "," ","Rest of Co. Cavan",9,13,14,7,19,..,..,13,..,..
" "," ","Donegal",47,46,36,43,44,40,55,49,47,89
" "," ","Buncrana Town",1,2,3,3,..,..,..,..,..,..
" "," ","Bundoran Town",1,4,3,0,..,..,..,1,..,..
" "," ","Letterkenny Town",7,3,5,2,7,..,..,6,..,..
" "," ","Ballyshannon",..,..,..,0,4,..,..,1,..,..
" "," ","Rest of Co. Donegal",38,37,25,38,33,..,..,41,..,..
" "," ","Monaghan",13,13,12,11,16,17,16,19,16,20
" "," ","Carrickmacross Town",2,1,1,0,1,..,..,3,..,..
" "," ","Castleblaney Town",1,0,..,1,..,..,..,..,..,..
" "," ","Clones Town",1,0,..,1,..,..,..,1,..,..
" "," ","Monaghan Town",..,1,1,1,3,..,..,4,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",9,11,10,8,12,..,..,11,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
"75 - 79 years"
" ","Both sexes"
" "," ","State",3682,3777,3737,3715,3731,3863,3970,3956,4006,3912
" "," ","Dublin City",562,575,517,507,520,568,536,530,543,481
" "," ","Fingal",112,117,121,113,121,132,145,150,158,170
" "," ","Balbriggan",..,..,..,4,8,..,..,5,..,..
" "," ","Rest of Fingal",..,..,..,..,113,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",166,178,192,188,184,197,193,201,179,190
" "," ","South Dublin",96,131,114,124,131,147,150,167,177,182
" "," ","Leinster",1815,1891,1902,1858,1866,2012,1974,2037,2025,2014
" "," ","Wicklow",94,94,113,91,91,97,111,107,110,132
" "," ","Arklow Town",8,8,14,8,13,..,..,11,..,..
" "," ","Bray Town",26,19,26,17,22,..,..,34,..,..
" "," ","Wicklow Town",6,8,6,4,7,..,..,3,..,..
" "," ","Greystones",..,..,..,10,8,..,..,5,..,..
" "," ","Rest of Wicklow",54,59,67,52,41,..,..,54,..,..
" "," ","Carlow",35,54,46,57,48,52,36,50,49,41
" "," ","Carlow Town",8,12,17,23,22,..,..,17,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,3,3,..,..,7,..,..
" "," ","Rest of Co. Carlow",27,42,29,34,23,..,..,33,..,..
" "," ","Kildare",103,100,112,107,120,126,117,125,122,137
" "," ","Athy Town",3,8,15,8,9,..,..,10,..,..
" "," ","Naas Town",17,10,12,12,13,..,..,12,..,..
" "," ","Leixlip",..,..,..,5,4,..,..,5,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,10,15,..,..,15,..,..
" "," ","Rest of Co. Kildare",83,82,85,72,79,..,..,83,..,..
" "," ","Kilkenny",71,69,74,87,74,82,97,84,87,89
" "," ","Kilkenny Borough",14,12,15,23,16,..,..,15,..,..
" "," ","Rest of Co. Kilkenny",57,57,59,64,58,..,..,69,..,..
" "," ","Laois",48,60,70,56,62,63,74,60,48,66
" "," ","Mountmellick",..,..,..,5,5,..,..,6,..,..
" "," ","Portlaoise",..,..,..,6,12,..,..,6,..,..
" "," ","Rest of Co. Laois",..,..,..,45,45,..,..,48,..,..
" "," ","Longford",39,41,43,51,31,35,21,34,34,32
" "," ","Longford town",9,11,9,7,6,..,..,12,..,..
" "," ","Granard",..,..,..,4,1,..,..,2,..,..
" "," ","Rest of Co. Longford",30,30,34,40,24,..,..,20,..,..
" "," ","Louth",93,80,115,89,104,116,92,107,119,98
" "," ","Drogheda Borough",27,24,37,20,31,..,..,39,..,..
" "," ","Dundalk Town",36,19,28,28,33,..,..,32,..,..
" "," ","Ardee",..,..,..,8,4,..,..,1,..,..
" "," ","Rest of Co. Louth",30,37,50,33,36,..,..,35,..,..
" "," ","Meath",114,100,119,107,109,117,113,129,118,125
" "," ","Kells Town",4,2,9,7,6,..,..,5,..,..
" "," ","Navan Town",17,9,19,15,17,..,..,28,..,..
" "," ","Trim Town",5,3,7,4,2,..,..,..,..,..
" "," ","Rest of Co. Meath",88,86,84,81,84,..,..,96,..,..
" "," ","Offaly",69,56,62,63,54,56,54,56,51,62
" "," ","Birr Town",5,3,5,2,6,..,..,5,..,..
" "," ","Tullamore Town",15,11,10,14,10,..,..,11,..,..
" "," ","Edenderry",..,..,..,4,7,..,..,5,..,..
" "," ","Rest of Co. Offaly",49,42,47,43,31,..,..,35,..,..
" "," ","Westmeath",65,84,74,72,73,76,70,75,62,77
" "," ","Athlone Town",12,15,15,16,17,..,..,16,..,..
" "," ","Mullingar",..,..,..,16,10,..,..,15,..,..
" "," ","Rest of Co. Westmeath",53,69,59,40,46,..,..,44,..,..
" "," ","Wexford",148,152,130,139,144,148,165,150,168,132
" "," ","Enniscorthy Town",15,7,13,11,8,..,..,7,..,..
" "," ","New Ross Town",8,9,10,8,17,..,..,11,..,..
" "," ","Wexford Borough",18,15,15,21,26,..,..,26,..,..
" "," ","Gorey",..,..,..,4,6,..,..,7,..,..
" "," ","Rest of Co. Wexford",107,121,92,95,87,..,..,99,..,..
" "," ","Munster",1104,1144,1105,1154,1129,1131,1242,1189,1231,1174
" "," ","Waterford County",67,63,71,67,53,51,60,64,78,60
" "," ","Dungarvan Town",10,10,12,14,7,..,..,8,..,..
" "," ","Lismore",..,..,..,2,2,..,..,1,..,..
" "," ","Tramore",..,..,..,12,10,..,..,12,..,..
" "," ","Rest of Waterford",57,53,59,39,34,..,..,43,..,..
" "," ","Waterford City",34,51,40,49,46,55,59,53,49,45
" "," ","Clare",107,98,83,82,98,102,113,102,116,88
" "," ","Ennis Town",12,16,20,9,23,..,..,12,..,..
" "," ","Kilrush Town",8,2,5,3,4,..,..,9,..,..
" "," ","Shannon",..,..,..,9,9,..,..,14,..,..
" "," ","Kilkee",..,..,..,3,2,..,..,1,..,..
" "," ","Rest of Co. Clare",87,80,58,58,60,..,..,66,..,..
" "," ","Cork City",159,148,142,153,159,158,159,156,160,127
" "," ","Cork County",273,297,285,300,301,279,312,338,314,345
" "," ","Cobh Town",11,8,8,12,14,..,..,11,..,..
" "," ","Fermoy Town",5,4,6,3,4,..,..,5,..,..
" "," ","Kinsale Town",2,5,5,2,3,..,..,3,..,..
" "," ","Midleton Town",2,5,8,9,5,..,..,3,..,..
" "," ","Youghal Town",3,4,12,7,6,..,..,11,..,..
" "," ","Clonakilty Town",1,6,5,5,4,..,..,8,..,..
" "," ","Skibbereen Town",3,3,2,9,6,..,..,5,..,..
" "," ","Macroom Town",..,7,8,4,7,..,..,8,..,..
" "," ","Mallow Town",14,7,15,13,16,..,..,9,..,..
" "," ","Rest of Co. Cork",232,248,216,225,222,..,..,261,..,..
" "," ","Passage West",..,..,..,4,2,..,..,3,..,..
" "," ","Bandon",..,..,..,2,5,..,..,5,..,..
" "," ","Bantry",..,..,..,5,7,..,..,6,..,..
" "," ","Kerry",143,136,141,153,145,155,158,144,153,170
" "," ","Killarney Town",21,13,15,9,16,..,..,11,..,..
" "," ","Listowel Town",3,6,9,12,5,..,..,9,..,..
" "," ","Tralee Town",16,23,30,22,30,..,..,26,..,..
" "," ","Rest of Co. Kerry",103,94,87,110,94,..,..,98,..,..
" "," ","Limerick City",57,72,64,60,77,61,91,78,61,62
" "," ","Limerick County",97,122,105,136,118,121,129,103,138,118
" "," ","North Tipperary",69,83,75,59,60,74,74,58,..,..
" "," ","Nenagh Town",8,3,15,8,7,..,..,4,..,..
" "," ","Templemore Town",6,4,2,1,2,..,..,7,..,..
" "," ","Thurles Town",9,14,9,11,6,..,..,6,..,..
" "," ","Rest of North Tipperary",46,62,49,39,45,..,..,41,..,..
" "," ","South Tipperary",98,74,99,95,72,75,87,93,..,..
" "," ","Carrick-on-Suir Town",10,2,8,9,8,..,..,6,..,..
" "," ","Cashel Town",5,0,6,6,4,..,..,2,..,..
" "," ","Clonmel Borough",23,16,23,22,16,..,..,22,..,..
" "," ","Tipperary Town",7,2,12,6,5,..,..,12,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,162,159
" "," ","Rest of South Tipperary",53,54,50,52,39,..,..,51,..,..
" "," ","Connacht",508,490,459,469,482,478,506,459,465,462
" "," ","Galway City",40,41,20,26,41,38,49,42,27,40
" "," ","Leitrim",39,36,42,42,33,42,43,33,28,41
" "," ","Mayo",152,141,128,128,125,135,134,143,129,129
" "," ","Ballina Town",16,9,14,10,8,..,..,11,..,..
" "," ","Castlebar Town",12,10,10,6,4,..,..,10,..,..
" "," ","Westport Town",6,4,7,4,3,..,..,8,..,..
" "," ","Rest of Co. Mayo",118,118,97,108,110,..,..,114,..,..
" "," ","Roscommon",74,67,54,68,70,64,62,53,66,59
" "," ","Boyle",..,..,..,1,5,..,..,1,..,..
